date,count
2014-04-24,3793
2014-03-31,3788
2014-03-06,3779
2014-03-13,3766
2014-03-17,3764
2014-04-29,3760
2013-12-15,3757
2014-02-28,3739
2014-03-24,3727
2012-09-27,3706
2014-04-11,3700
2013-12-22,3682
2014-02-14,3674
2014-05-08,3658
2014-04-28,3635
2014-03-05,3629
2015-05-05,3620
2014-05-16,3618
2012-10-07,3615
2013-12-28,3612
2014-03-04,3603
2012-10-14,3602
2014-03-10,3601
2014-04-10,3596
2014-05-05,3595
2014-03-15,3591
2015-04-16,3584
2014-04-26,3580
2013-12-26,3577
2014-04-21,3576
2015-04-30,3570
2015-05-01,3570
2012-09-26,3565
2014-04-09,3560
2014-03-22,3544
2014-05-10,3529
2014-04-19,3521
2012-11-22,3519
2015-04-17,3508
2014-05-23,3502
2014-05-30,3493
2014-05-14,3492
2015-05-15,3490
2014-02-27,3488
2014-05-15,3488
2014-05-22,3485
2015-04-21,3483
2012-09-21,3483
2014-05-20,3479
2015-05-14,3469
2015-05-08,3466
2015-05-22,3466
2014-04-08,3463
2014-05-21,3463
2014-02-26,3462
2014-05-29,3462
2015-05-07,3443
2014-02-25,3440
2015-05-06,3436
2015-04-15,3427
2015-04-22,3414
2014-03-29,3409
2014-04-12,3396
2014-02-13,3392
2015-04-24,3388
2015-03-26,3375
2015-05-29,3369
2014-04-07,3367
2015-04-29,3364
2014-03-01,3364
2015-05-20,3355
2014-05-03,3345
2014-05-13,3344
2015-03-27,3340
2015-06-12,3339
2015-03-19,3338
2015-04-01,3330
2014-05-28,3330
2012-09-30,3323
2013-12-29,3314
2015-03-25,3311
2015-05-13,3310
2015-06-05,3307
2015-04-02,3307
2015-03-20,3305
2014-04-05,3295
2015-04-23,3292
2015-03-18,3291
2015-03-24,3290
2014-01-31,3289
2014-03-08,3282
2015-05-04,3282
2015-05-12,3280
2015-04-14,3279
2014-05-27,3277
2014-02-12,3277
2015-04-28,3275
2012-09-25,3273
2015-05-21,3270
2015-04-03,3262
2015-05-19,3251
2012-09-24,3250
2012-09-14,3249
2014-02-07,3237
2015-03-31,3236
2015-03-17,3232
2015-05-28,3228
2015-06-04,3221
2015-04-20,3218
2015-04-13,3201
2014-03-03,3195
2014-05-19,3193
2015-04-18,3188
2015-06-10,3186
2015-06-03,3182
2014-05-17,3182
2015-05-27,3181
2015-06-11,3181
2014-02-11,3177
2015-05-11,3165
2015-03-11,3155
2015-06-19,3151
2015-05-18,3150
2015-04-27,3149
2015-04-25,3146
2015-06-24,3137
2014-05-12,3126
2015-03-13,3112
2015-06-25,3111
2014-01-17,3100
2015-03-30,3083
2015-03-23,3078
2014-03-23,3075
2015-06-02,3075
2012-09-22,3067
2015-06-17,3065
2013-01-01,3065
2014-04-27,3061
2014-01-15,3058
2014-02-24,3054
2012-09-19,3050
2015-03-12,3048
2015-05-26,3039
2014-12-19,3029
2014-02-21,3024
2015-05-09,3024
2015-06-08,3024
2015-05-16,3021
2015-03-10,3020
2015-06-09,3015
2015-02-26,3013
2014-01-14,3006
2014-01-10,3003
2015-03-28,3003
2015-04-10,2997
2015-05-02,2995
2014-12-18,2995
2015-03-06,2987
2015-06-26,2975
2014-01-30,2974
2012-09-20,2972
2015-06-01,2970
2015-02-27,2968
2014-02-19,2966
2014-03-16,2960
2015-06-30,2959
2015-06-06,2957
2015-06-18,2955
2015-06-16,2951
2015-02-25,2945
2015-07-02,2940
2014-03-30,2927
2014-05-04,2926
2015-04-08,2924
2015-04-06,2919
2015-03-16,2916
2014-01-23,2914
2014-02-06,2910
2014-02-15,2904
2015-07-22,2903
2015-04-09,2899
2014-02-03,2898
2015-02-24,2896
2014-02-04,2895
2012-09-18,2891
2012-09-23,2890
2015-04-07,2886
2014-11-21,2885
2015-07-10,2884
2015-07-01,2880
2014-01-21,2878
2015-03-14,2877
2015-07-24,2874
2014-12-12,2874
2014-01-29,2872
2015-06-22,2870
2014-11-06,2867
2012-09-13,2863
2014-11-04,2862
2014-01-16,2859
2014-02-10,2856
2015-07-30,2854
2015-06-23,2854
2014-04-13,2853
2015-03-21,2852
2015-02-13,2850
2015-07-31,2846
2015-06-29,2844
2015-04-11,2843
2015-07-16,2841
2014-12-17,2840
2015-03-04,2839
2015-02-10,2836
2014-11-26,2833
2014-10-17,2833
2014-12-05,2829
2015-07-29,2827
2014-01-22,2827
2014-12-10,2826
2015-07-08,2824
2015-07-28,2821
2014-10-30,2818
2014-09-11,2818
2015-03-05,2816
2014-11-14,2812
2014-03-09,2809
2014-10-09,2806
2014-02-08,2801
2015-02-12,2800
2015-07-23,2800
2014-01-24,2795
2014-11-12,2795
2014-10-31,2794
2014-11-25,2793
2014-11-13,2792
2014-12-04,2787
2015-02-11,2787
2014-10-23,2786
2014-01-04,2785
2015-06-15,2783
2015-07-14,2783
2014-12-03,2781
2014-04-06,2781
2015-07-21,2780
2012-09-17,2779
2014-01-13,2777
2012-09-12,2777
2014-10-03,2776
2014-10-08,2773
2015-07-09,2770
2015-05-30,2768
2014-10-02,2768
2014-12-11,2767
2014-10-14,2763
2015-03-09,2758
2015-03-02,2755
2014-10-22,2752
2014-09-26,2751
2014-11-24,2751
2014-02-22,2744
2015-04-04,2741
2014-09-19,2740
2014-10-10,2738
2015-06-13,2737
2014-10-29,2734
2015-07-06,2733
2014-10-07,2730
2014-09-25,2730
2014-12-15,2728
2014-05-24,2728
2014-10-16,2727
2014-12-16,2726
2014-10-24,2723
2014-12-08,2722
2014-05-11,2722
2014-09-30,2721
2014-02-20,2721
2014-01-09,2715
2015-07-07,2711
2015-07-17,2710
2014-09-12,2703
2015-02-06,2702
2014-10-01,2702
2015-07-15,2699
2014-10-15,2698
2014-11-05,2696
2014-09-17,2694
2014-12-09,2694
2014-12-02,2694
2015-08-04,2690
2014-11-11,2686
2015-02-23,2682
2014-09-24,2681
2014-01-20,2680
2014-11-07,2678
2015-04-19,2676
2014-02-18,2674
2014-10-28,2674
2014-09-05,2673
2014-05-18,2667
2015-07-13,2664
2015-07-20,2658
2014-10-21,2650
2015-01-30,2649
2015-07-27,2642
2014-09-23,2640
2014-09-04,2639
2015-02-28,2633
2014-01-18,2633
2014-12-23,2627
2014-01-27,2624
2015-01-16,2620
2014-09-16,2616
2014-09-18,2616
2014-11-20,2616
2014-11-19,2612
2015-05-10,2612
2014-10-13,2610
2015-01-28,2605
2015-01-22,2605
2015-02-20,2604
2014-12-01,2595
2014-09-03,2594
2014-02-05,2593
2014-09-09,2588
2014-12-22,2588
2015-04-26,2584
2015-02-18,2579
2014-11-03,2578
2014-11-18,2574
2015-05-23,2574
2015-08-03,2573
2012-09-11,2573
2015-03-03,2573
2014-10-20,2571
2014-01-11,2570
2015-08-07,2568
2014-02-17,2567
2014-12-13,2567
2014-10-06,2563
2014-08-29,2560
2015-06-20,2558
2014-09-10,2556
2015-01-15,2556
2014-01-03,2555
2015-05-03,2549
2014-11-10,2540
2015-01-23,2539
2014-08-20,2539
2014-02-23,2536
2015-08-06,2533
2014-08-27,2529
2014-10-27,2529
2015-03-07,2526
2014-03-02,2523
2014-09-15,2523
2014-09-29,2519
2015-02-19,2517
2015-07-03,2514
2015-05-17,2504
2015-01-29,2496
2015-08-05,2495
2015-03-29,2494
2014-09-22,2493
2014-01-28,2492
2014-08-13,2492
2015-07-11,2487
2015-02-17,2486
2013-11-28,2486
2014-09-08,2484
2014-10-18,2481
2015-02-04,2478
2014-12-06,2474
2014-09-02,2470
2015-07-25,2470
2015-01-27,2467
2014-08-15,2467
2015-02-05,2461
2014-10-11,2458
2014-01-08,2458
2015-02-09,2443
2014-08-28,2443
2012-09-07,2441
2012-09-15,2437
2014-01-25,2435
2014-08-22,2435
2015-08-14,2424
2014-11-17,2419
2014-08-26,2419
2014-08-12,2419
2015-06-07,2416
2015-06-27,2416
2015-08-11,2414
2013-12-31,2411
2015-01-31,2407
2015-02-21,2391
2014-08-19,2386
2014-11-15,2386
2015-03-22,2385
2014-05-25,2385
2014-08-21,2381
2014-03-12,2374
2014-12-20,2373
2014-09-20,2368
2014-05-31,2366
2014-11-01,2362
2014-04-20,2361
2015-01-14,2360
2015-06-14,2352
2015-01-21,2349
2014-08-14,2349
2015-01-20,2341
2015-03-15,2341
2015-08-12,2337
2014-09-06,2337
2014-10-04,2334
2015-04-12,2332
2015-08-13,2330
2014-10-25,2327
2015-08-01,2323
2015-06-28,2321
2015-08-10,2320
2015-07-18,2318
2015-02-07,2311
